month,grid_id,lon,lat,era5_lon,era5_lat,u10_m_s,v10_m_s,wind_speed_m_s,wind_direction_from_deg,source_status
2024-01-01,G025_R389_C1144,106.125,-7.375,106.0,-7.25,2.135500907897949,0.14866065979003906,2.1406690821801897,266.0178386611488,ok
2024-01-01,G025_R389_C1145,106.375,-7.375,106.25,-7.25,1.7517118453979492,-0.25807762145996094,1.7706209215995161,278.38102715725023,ok
2024-01-01,G025_R390_C1132,103.125,-7.625,103.0,-7.5,2.697024345397949,0.26780128479003906,2.7102874105534327,264.3293979265577,ok
2024-01-01,G025_R390_C1133,103.375,-7.625,103.25,-7.5,2.720950126647949,0.27463722229003906,2.734775163623635,264.23640980724133,ok
2024-01-01,G025_R390_C1134,103.625,-7.625,103.5,-7.5,2.793215751647949,0.30832862854003906,2.8101816273030464,263.700917244469,ok
2024-01-01,G025_R390_C1135,103.875,-7.625,103.75,-7.5,2.822512626647949,0.36985206604003906,2.846641543703947,262.53469770599764,ok
2024-01-01,G025_R390_C1136,104.125,-7.625,104.0,-7.5,2.814211845397949,0.42160987854003906,2.8456182457351296,261.4796264153806,ok
2024-01-01,G025_R390_C1137,104.375,-7.625,104.25,-7.5,2.839602470397949,0.5041294097900391,2.884005660831024,259.93287511082593,ok
2024-01-01,G025_R390_C1138,104.625,-7.625,104.5,-7.5,2.821047782897949,0.5397739410400391,2.872223267926665,259.1680545288638,ok
2024-01-01,G025_R390_C1139,104.875,-7.625,104.75,-7.5,2.792727470397949,0.5578403472900391,2.847896166818587,258.70397862202014,ok
2024-01-01,G025_R390_C1140,105.125,-7.625,105.0,-7.5,2.769778251647949,0.5793247222900391,2.8297153031989635,258.1863658524363,ok
2024-01-01,G025_R390_C1141,105.375,-7.625,105.25,-7.5,2.679934501647949,0.5646762847900391,2.738778603634716,258.1015249249786,ok
2024-01-01,G025_R390_C1142,105.625,-7.625,105.5,-7.5,2.585696220397949,0.5324497222900391,2.6399484182360418,258.3642296109308,ok
2024-01-01,G025_R390_C1143,105.875,-7.625,105.75,-7.5,2.471438407897949,0.45188331604003906,2.512410463150576,259.63836756227676,ok
2024-01-01,G025_R390_C1144,106.125,-7.625,106.0,-7.5,2.286868095397949,0.16282081604003906,2.292657040179579,265.9275176380599,ok
2024-01-01,G025_R390_C1145,106.375,-7.625,106.25,-7.5,2.316164970397949,-0.28590965270996094,2.333744737457647,277.0370479939023,ok
2024-01-01,G025_R390_C1146,106.625,-7.625,106.5,-7.5,2.329836845397949,-0.45924949645996094,2.3746683613028146,281.1509917018773,ok
2024-01-01,G025_R390_C1147,106.875,-7.625,106.75,-7.5,2.278567314147949,-0.44118309020996094,2.3208859351959994,280.9581844667756,ok
2024-01-01,G025_R391_C1132,103.125,-7.875,103.0,-7.75,2.664797782897949,0.32297706604003906,2.684299053556749,263.0893815722358,ok
2024-01-01,G025_R391_C1133,103.375,-7.875,103.25,-7.75,2.695559501647949,0.37815284729003906,2.7219552903819166,262.01424387420684,ok
2024-01-01,G025_R391_C1134,103.625,-7.875,103.5,-7.75,2.697512626647949,0.38743019104003906,2.7251929333268206,261.8267884621391,ok
2024-01-01,G025_R391_C1135,103.875,-7.875,103.75,-7.75,2.748782157897949,0.46262550354003906,2.7874407093432105,260.44653734301005,ok
2024-01-01,G025_R391_C1136,104.125,-7.875,104.0,-7.75,2.728274345397949,0.5080356597900391,2.7751722712968485,259.4516877506203,ok
2024-01-01,G025_R391_C1137,104.375,-7.875,104.25,-7.75,2.724368095397949,0.5617465972900391,2.781679485273094,258.3492725516851,ok
2024-01-01,G025_R391_C1138,104.625,-7.875,104.5,-7.75,2.718508720397949,0.6100864410400391,2.786125468894141,257.35127650820345,ok
2024-01-01,G025_R391_C1139,104.875,-7.875,104.75,-7.75,2.716555595397949,0.6437778472900391,2.7917958771280724,256.66781804210893,ok
2024-01-01,G025_R391_C1140,105.125,-7.875,105.0,-7.75,2.705325126647949,0.6662387847900391,2.786154726362348,256.16510691021426,ok
2024-01-01,G025_R391_C1141,105.375,-7.875,105.25,-7.75,2.654055595397949,0.6637973785400391,2.7358066567686743,255.95799690039308,ok
2024-01-01,G025_R391_C1142,105.625,-7.875,105.5,-7.75,2.566653251647949,0.6286411285400391,2.642517470649359,256.2376778232342,ok
2024-01-01,G025_R391_C1143,105.875,-7.875,105.75,-7.75,2.528079032897949,0.5314731597900391,2.583340340751764,258.1277062885984,ok
2024-01-01,G025_R391_C1144,106.125,-7.875,106.0,-7.75,2.451907157897949,0.35910987854003906,2.4780654986937374,261.6676191801163,ok
2024-01-01,G025_R391_C1145,106.375,-7.875,106.25,-7.75,2.506106376647949,0.010477066040039062,2.506128276842253,269.76046979721343,ok
2024-01-01,G025_R391_C1146,106.625,-7.875,106.5,-7.75,2.716067314147949,-0.25075340270996094,2.7276178111959672,275.27472210655793,ok
2024-01-01,G025_R391_C1147,106.875,-7.875,106.75,-7.75,2.928957939147949,-0.38649559020996094,2.954348227705994,277.5171312398844,ok
