"grid_id","cell_no","lon","lat","west","east","south","north","row_nc0","col_nc0","row_R1","col_R1","row_bbox_R1","col_bbox_R1","status","sea_fraction","center_at_sea","selected","selection_rule","crs_epsg"
"G025_R390_C1143",172,105.875,-7.625,105.75,106,-7.75,-7.5,390,1143,391,1144,11,12,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1144",173,106.125,-7.625,106,106.25,-7.75,-7.5,390,1144,391,1145,11,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1145",174,106.375,-7.625,106.25,106.5,-7.75,-7.5,390,1145,391,1146,11,14,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1146",175,106.625,-7.625,106.5,106.75,-7.75,-7.5,390,1146,391,1147,11,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1147",176,106.875,-7.625,106.75,107,-7.75,-7.5,390,1147,391,1148,11,16,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1132",177,103.125,-7.875,103,103.25,-8,-7.75,391,1132,392,1133,12,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1133",178,103.375,-7.875,103.25,103.5,-8,-7.75,391,1133,392,1134,12,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1134",179,103.625,-7.875,103.5,103.75,-8,-7.75,391,1134,392,1135,12,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1135",180,103.875,-7.875,103.75,104,-8,-7.75,391,1135,392,1136,12,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1136",181,104.125,-7.875,104,104.25,-8,-7.75,391,1136,392,1137,12,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1137",182,104.375,-7.875,104.25,104.5,-8,-7.75,391,1137,392,1138,12,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1138",183,104.625,-7.875,104.5,104.75,-8,-7.75,391,1138,392,1139,12,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1139",184,104.875,-7.875,104.75,105,-8,-7.75,391,1139,392,1140,12,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1140",185,105.125,-7.875,105,105.25,-8,-7.75,391,1140,392,1141,12,9,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1141",186,105.375,-7.875,105.25,105.5,-8,-7.75,391,1141,392,1142,12,10,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1142",187,105.625,-7.875,105.5,105.75,-8,-7.75,391,1142,392,1143,12,11,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1143",188,105.875,-7.875,105.75,106,-8,-7.75,391,1143,392,1144,12,12,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1144",189,106.125,-7.875,106,106.25,-8,-7.75,391,1144,392,1145,12,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1145",190,106.375,-7.875,106.25,106.5,-8,-7.75,391,1145,392,1146,12,14,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1146",191,106.625,-7.875,106.5,106.75,-8,-7.75,391,1146,392,1147,12,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R391_C1147",192,106.875,-7.875,106.75,107,-8,-7.75,391,1147,392,1148,12,16,"Laut penuh",1,TRUE,TRUE,"center",4326
