grid_id,lon,lat,n_month,n_chla,availability,chla_mean,chla_median,chla_sd,peak_month
G025_R390_C1132,103.125,-7.625,276,266,0.9637681159420289,0.17006224668750822,0.11145177596282685,0.2073501534806129,9
G025_R390_C1133,103.375,-7.625,276,269,0.9746376811594203,0.17646235796670623,0.1193690171812012,0.19954850007359703,8
G025_R390_C1134,103.625,-7.625,276,268,0.9710144927536232,0.19191883633927515,0.1205748107319735,0.233319105443635,9
G025_R390_C1135,103.875,-7.625,276,273,0.9891304347826086,0.19172357148291222,0.119693946171419,0.2065899939760304,9
G025_R390_C1136,104.125,-7.625,276,273,0.9891304347826086,0.19691354655576554,0.1269795054688204,0.2229061014085774,9
G025_R390_C1137,104.375,-7.625,276,270,0.9782608695652174,0.20207916748022378,0.13255478884499827,0.21015135906044996,9
G025_R390_C1138,104.625,-7.625,276,273,0.9891304347826086,0.21252875751835107,0.1361696915414845,0.2603205588516556,9
G025_R390_C1139,104.875,-7.625,276,270,0.9782608695652174,0.2151327993602467,0.1485497065996016,0.25159428865977806,9
G025_R390_C1140,105.125,-7.625,276,270,0.9782608695652174,0.22656335974270697,0.15591333438012045,0.2049498738214085,9
G025_R390_C1141,105.375,-7.625,276,272,0.9855072463768116,0.23943511815087096,0.16020769563838966,0.22358824967994237,9
G025_R390_C1142,105.625,-7.625,276,270,0.9782608695652174,0.26026455974806,0.16220189015417558,0.2801994334667276,9
G025_R390_C1143,105.875,-7.625,276,271,0.9818840579710145,0.3042188845066365,0.1650592709020505,0.44733446809811306,9
G025_R390_C1144,106.125,-7.625,276,269,0.9746376811594203,0.3612715573025595,0.1781141753031975,0.5724321155477172,8
G025_R390_C1145,106.375,-7.625,276,270,0.9782608695652174,0.4274927720968942,0.2210653537018297,0.6113163866889817,8
G025_R390_C1146,106.625,-7.625,276,268,0.9710144927536232,0.5313853111697017,0.27554571571496345,0.8177832676093589,8
G025_R390_C1147,106.875,-7.625,276,268,0.9710144927536232,0.6253127257089867,0.30390036477889265,1.0221227976659717,9
G025_R391_C1132,103.125,-7.875,276,272,0.9855072463768116,0.1529323322363581,0.1109250479492446,0.16216055658152098,8
G025_R391_C1133,103.375,-7.875,276,268,0.9710144927536232,0.1581713874417658,0.1111208725120066,0.15694800635982584,8
G025_R391_C1134,103.625,-7.875,276,272,0.9855072463768116,0.171550615379661,0.11416688833917804,0.21307128581440102,9
G025_R391_C1135,103.875,-7.875,276,273,0.9891304347826086,0.16579741640563386,0.1186440756347794,0.16089094360542866,8
G025_R391_C1136,104.125,-7.875,276,274,0.9927536231884058,0.16501722191102985,0.1223382664477975,0.13637462366241618,9
G025_R391_C1137,104.375,-7.875,276,273,0.9891304347826086,0.17062796017930026,0.1271360435537457,0.13813229896224907,9
G025_R391_C1138,104.625,-7.875,276,274,0.9927536231884058,0.17523342491532262,0.13215091784064076,0.14030375820812163,8
G025_R391_C1139,104.875,-7.875,276,273,0.9891304347826086,0.180202213036159,0.1320386692019015,0.16136854814317766,9
G025_R391_C1140,105.125,-7.875,276,271,0.9818840579710145,0.18891451222412253,0.1385106719597684,0.1561068134426198,9
G025_R391_C1141,105.375,-7.875,276,274,0.9927536231884058,0.202351141894489,0.13992036634267552,0.18825777848599617,8
G025_R391_C1142,105.625,-7.875,276,274,0.9927536231884058,0.21347326273364142,0.13839847150490914,0.20531198723958463,8
G025_R391_C1143,105.875,-7.875,276,273,0.9891304347826086,0.23180906268360973,0.1393919279794026,0.24853570925070154,8
G025_R391_C1144,106.125,-7.875,276,272,0.9855072463768116,0.2537831358650818,0.14849739565540293,0.27870142317828883,8
G025_R391_C1145,106.375,-7.875,276,271,0.9818840579710145,0.27053196747240205,0.1576890959599236,0.2924301122390521,8
G025_R391_C1146,106.625,-7.875,276,273,0.9891304347826086,0.2959218837356308,0.1672870382304097,0.33699894722375506,8
G025_R391_C1147,106.875,-7.875,276,273,0.9891304347826086,0.3351313509511148,0.1773917549829141,0.43722269378938233,8
