grid_1,grid_2,distance_degree,neighbor,correlation,distance_group
G025_R380_C1133,G025_R382_C1132,0.5590169943749475,FALSE,0.8298292804526213,"(0.51,0.76]"
G025_R380_C1134,G025_R382_C1132,0.7071067811865476,FALSE,0.7494314234681099,"(0.51,0.76]"
G025_R380_C1135,G025_R382_C1132,0.9013878188659973,FALSE,0.65194791862991,"(0.76,1.01]"
G025_R380_C1143,G025_R382_C1132,2.7950849718747373,FALSE,0.0852212741615218,"(1.51,Inf]"
G025_R380_C1144,G025_R382_C1132,3.0413812651491097,FALSE,0.25957438702900365,"(1.51,Inf]"
G025_R380_C1145,G025_R382_C1132,3.2882366094914763,FALSE,0.11821208256045183,"(1.51,Inf]"
G025_R380_C1146,G025_R382_C1132,3.5355339059327378,FALSE,0.07356068477033156,"(1.51,Inf]"
G025_R380_C1147,G025_R382_C1132,3.783186487605389,FALSE,0.02935739620352408,"(1.51,Inf]"
G025_R381_C1132,G025_R382_C1132,0.25,TRUE,0.9498067561302461,"[0,0.26]"
G025_R381_C1133,G025_R382_C1132,0.3535533905932738,FALSE,0.9131167961628063,"(0.26,0.51]"
G025_R381_C1134,G025_R382_C1132,0.5590169943749475,FALSE,0.8631298667302821,"(0.51,0.76]"
G025_R381_C1135,G025_R382_C1132,0.7905694150420949,FALSE,0.828008086803285,"(0.76,1.01]"
G025_R381_C1143,G025_R382_C1132,2.7613402542968153,FALSE,0.1257595705987265,"(1.51,Inf]"
G025_R381_C1144,G025_R382_C1132,3.010398644698074,FALSE,0.2608896640581063,"(1.51,Inf]"
G025_R381_C1145,G025_R382_C1132,3.2596012026013246,FALSE,0.1495746686400453,"(1.51,Inf]"
G025_R381_C1146,G025_R382_C1132,3.5089172119045497,FALSE,0.12332123996283408,"(1.51,Inf]"
G025_R381_C1147,G025_R382_C1132,3.758324094593227,FALSE,0.07821976432154923,"(1.51,Inf]"
G025_R380_C1132,G025_R382_C1133,0.5590169943749475,FALSE,0.915337268559585,"(0.51,0.76]"
G025_R380_C1133,G025_R382_C1133,0.5,FALSE,0.8637756877758773,"(0.26,0.51]"
G025_R380_C1134,G025_R382_C1133,0.5590169943749475,FALSE,0.7709658601993774,"(0.51,0.76]"
G025_R380_C1135,G025_R382_C1133,0.7071067811865476,FALSE,0.6841378127709676,"(0.51,0.76]"
G025_R380_C1143,G025_R382_C1133,2.5495097567963922,FALSE,0.08506685889028584,"(1.51,Inf]"
G025_R380_C1144,G025_R382_C1133,2.7950849718747373,FALSE,0.23881999073914872,"(1.51,Inf]"
G025_R380_C1145,G025_R382_C1133,3.0413812651491097,FALSE,0.10626149051570093,"(1.51,Inf]"
G025_R380_C1146,G025_R382_C1133,3.2882366094914763,FALSE,0.04650531547197309,"(1.51,Inf]"
G025_R380_C1147,G025_R382_C1133,3.5355339059327378,FALSE,0.01037503288782816,"(1.51,Inf]"
G025_R381_C1132,G025_R382_C1133,0.3535533905932738,FALSE,0.9532188413417285,"(0.26,0.51]"
G025_R381_C1133,G025_R382_C1133,0.25,TRUE,0.9546235480996029,"[0,0.26]"
G025_R381_C1134,G025_R382_C1133,0.3535533905932738,FALSE,0.900633864180367,"(0.26,0.51]"
G025_R381_C1135,G025_R382_C1133,0.5590169943749475,FALSE,0.8594914775244107,"(0.51,0.76]"
G025_R381_C1143,G025_R382_C1133,2.5124689052802225,FALSE,0.08039376346439882,"(1.51,Inf]"
G025_R381_C1144,G025_R382_C1133,2.7613402542968153,FALSE,0.2533790553105896,"(1.51,Inf]"
G025_R381_C1145,G025_R382_C1133,3.010398644698074,FALSE,0.15056586803377892,"(1.51,Inf]"
G025_R381_C1146,G025_R382_C1133,3.2596012026013246,FALSE,0.10872466024778832,"(1.51,Inf]"
G025_R381_C1147,G025_R382_C1133,3.5089172119045497,FALSE,0.05725699168251665,"(1.51,Inf]"
G025_R382_C1132,G025_R382_C1133,0.25,TRUE,0.9640321965914757,"[0,0.26]"
G025_R380_C1132,G025_R382_C1134,0.7071067811865476,FALSE,0.9155421166431145,"(0.51,0.76]"
G025_R380_C1133,G025_R382_C1134,0.5590169943749475,FALSE,0.8775544502867191,"(0.51,0.76]"
G025_R380_C1134,G025_R382_C1134,0.5,FALSE,0.7859402930993082,"(0.26,0.51]"
G025_R380_C1135,G025_R382_C1134,0.5590169943749475,FALSE,0.6954218942228593,"(0.51,0.76]"
G025_R380_C1143,G025_R382_C1134,2.3048861143232218,FALSE,0.08317241176604942,"(1.51,Inf]"
G025_R380_C1144,G025_R382_C1134,2.5495097567963922,FALSE,0.23265008593309974,"(1.51,Inf]"
G025_R380_C1145,G025_R382_C1134,2.7950849718747373,FALSE,0.11712390832328425,"(1.51,Inf]"
G025_R380_C1146,G025_R382_C1134,3.0413812651491097,FALSE,0.05768939241756817,"(1.51,Inf]"
G025_R380_C1147,G025_R382_C1134,3.2882366094914763,FALSE,0.011245341526865843,"(1.51,Inf]"
G025_R381_C1132,G025_R382_C1134,0.5590169943749475,FALSE,0.9265781725273191,"(0.51,0.76]"
G025_R381_C1133,G025_R382_C1134,0.3535533905932738,FALSE,0.953158758597115,"(0.26,0.51]"
G025_R381_C1134,G025_R382_C1134,0.25,TRUE,0.9228239631359232,"[0,0.26]"
G025_R381_C1135,G025_R382_C1134,0.3535533905932738,FALSE,0.8817336514250113,"(0.26,0.51]"
G025_R381_C1143,G025_R382_C1134,2.2638462845343543,FALSE,0.06176134702295324,"(1.51,Inf]"
G025_R381_C1144,G025_R382_C1134,2.5124689052802225,FALSE,0.26784364495481405,"(1.51,Inf]"
G025_R381_C1145,G025_R382_C1134,2.7613402542968153,FALSE,0.17739984894976327,"(1.51,Inf]"
G025_R381_C1146,G025_R382_C1134,3.010398644698074,FALSE,0.14741187596464855,"(1.51,Inf]"
G025_R381_C1147,G025_R382_C1134,3.2596012026013246,FALSE,0.05985309626688563,"(1.51,Inf]"
G025_R382_C1132,G025_R382_C1134,0.5,FALSE,0.9150189861412789,"(0.26,0.51]"
G025_R382_C1133,G025_R382_C1134,0.25,TRUE,0.9688786465410941,"[0,0.26]"
G025_R380_C1132,G025_R382_C1135,0.9013878188659973,FALSE,0.8928431365758375,"(0.76,1.01]"
G025_R380_C1133,G025_R382_C1135,0.7071067811865476,FALSE,0.8705373016120173,"(0.51,0.76]"
G025_R380_C1134,G025_R382_C1135,0.5590169943749475,FALSE,0.7849825857010645,"(0.51,0.76]"
G025_R380_C1135,G025_R382_C1135,0.5,FALSE,0.6976964811227119,"(0.26,0.51]"
G025_R380_C1143,G025_R382_C1135,2.0615528128088303,FALSE,0.05233011972099872,"(1.51,Inf]"
G025_R380_C1144,G025_R382_C1135,2.3048861143232218,FALSE,0.23841067007265557,"(1.51,Inf]"
G025_R380_C1145,G025_R382_C1135,2.5495097567963922,FALSE,0.12400714180670772,"(1.51,Inf]"
G025_R380_C1146,G025_R382_C1135,2.7950849718747373,FALSE,0.03947847191866763,"(1.51,Inf]"
G025_R380_C1147,G025_R382_C1135,3.0413812651491097,FALSE,-0.018380797072343944,"(1.51,Inf]"
G025_R381_C1132,G025_R382_C1135,0.7905694150420949,FALSE,0.8985450830518339,"(0.76,1.01]"
G025_R381_C1133,G025_R382_C1135,0.5590169943749475,FALSE,0.929947407897141,"(0.51,0.76]"
G025_R381_C1134,G025_R382_C1135,0.3535533905932738,FALSE,0.919895923082284,"(0.26,0.51]"
G025_R381_C1135,G025_R382_C1135,0.25,TRUE,0.9057575785368139,"[0,0.26]"
G025_R381_C1143,G025_R382_C1135,2.0155644370746373,FALSE,0.06357253976838034,"(1.51,Inf]"
G025_R381_C1144,G025_R382_C1135,2.2638462845343543,FALSE,0.3035254964125455,"(1.51,Inf]"
G025_R381_C1145,G025_R382_C1135,2.5124689052802225,FALSE,0.1695230507072526,"(1.51,Inf]"
G025_R381_C1146,G025_R382_C1135,2.7613402542968153,FALSE,0.10866847709258654,"(1.51,Inf]"
G025_R381_C1147,G025_R382_C1135,3.010398644698074,FALSE,0.029963265527275212,"(1.51,Inf]"
G025_R382_C1132,G025_R382_C1135,0.75,FALSE,0.8848563497488297,"(0.51,0.76]"
G025_R382_C1133,G025_R382_C1135,0.5,FALSE,0.9301612657123443,"(0.26,0.51]"
G025_R382_C1134,G025_R382_C1135,0.25,TRUE,0.9700676323603199,"[0,0.26]"
G025_R380_C1132,G025_R382_C1136,1.118033988749895,FALSE,0.8143505116847685,"(1.01,1.51]"
G025_R380_C1133,G025_R382_C1136,0.9013878188659973,FALSE,0.8245141245625979,"(0.76,1.01]"
G025_R380_C1134,G025_R382_C1136,0.7071067811865476,FALSE,0.8033614974494154,"(0.51,0.76]"
G025_R380_C1135,G025_R382_C1136,0.5590169943749475,FALSE,0.7635937961269132,"(0.51,0.76]"
G025_R380_C1143,G025_R382_C1136,1.8200274723201295,FALSE,0.08041585542756396,"(1.51,Inf]"
G025_R380_C1144,G025_R382_C1136,2.0615528128088303,FALSE,0.23397396521419508,"(1.51,Inf]"
G025_R380_C1145,G025_R382_C1136,2.3048861143232218,FALSE,0.14116345251582518,"(1.51,Inf]"
G025_R380_C1146,G025_R382_C1136,2.5495097567963922,FALSE,0.006834637593282262,"(1.51,Inf]"
G025_R380_C1147,G025_R382_C1136,2.7950849718747373,FALSE,-0.06502999580434922,"(1.51,Inf]"
G025_R381_C1132,G025_R382_C1136,1.0307764064044151,FALSE,0.8134458463362744,"(1.01,1.51]"
G025_R381_C1133,G025_R382_C1136,0.7905694150420949,FALSE,0.8302912602438953,"(0.76,1.01]"
G025_R381_C1134,G025_R382_C1136,0.5590169943749475,FALSE,0.8281896440018515,"(0.51,0.76]"
G025_R381_C1135,G025_R382_C1136,0.3535533905932738,FALSE,0.8846359991893529,"(0.26,0.51]"
G025_R381_C1143,G025_R382_C1136,1.7677669529663689,FALSE,0.09658184742886637,"(1.51,Inf]"
G025_R381_C1144,G025_R382_C1136,2.0155644370746373,FALSE,0.3162503238265858,"(1.51,Inf]"
G025_R381_C1145,G025_R382_C1136,2.2638462845343543,FALSE,0.15278252826313962,"(1.51,Inf]"
G025_R381_C1146,G025_R382_C1136,2.5124689052802225,FALSE,0.05102398591470038,"(1.51,Inf]"
G025_R381_C1147,G025_R382_C1136,2.7613402542968153,FALSE,-0.02051015610533432,"(1.51,Inf]"
G025_R382_C1132,G025_R382_C1136,1,FALSE,0.8150960432674459,"(0.76,1.01]"
G025_R382_C1133,G025_R382_C1136,0.75,FALSE,0.8267978199252706,"(0.51,0.76]"
G025_R382_C1134,G025_R382_C1136,0.5,FALSE,0.8335832374340318,"(0.26,0.51]"
G025_R382_C1135,G025_R382_C1136,0.25,TRUE,0.8757954391026873,"[0,0.26]"
G025_R380_C1132,G025_R382_C1138,1.5811388300841898,FALSE,0.16246688522223837,"(1.51,Inf]"
G025_R380_C1133,G025_R382_C1138,1.346291201783626,FALSE,0.16237082087609023,"(1.01,1.51]"
G025_R380_C1134,G025_R382_C1138,1.118033988749895,FALSE,0.2115312430631683,"(1.01,1.51]"
