month,raw_subset,status,n_daily_files
2013-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201309_v1.nc,ok,30
2013-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201310_v1.nc,ok,31
2013-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201311_v1.nc,ok,30
2013-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201312_v1.nc,ok,31
2014-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201401_v1.nc,ok,31
2014-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201402_v1.nc,ok,28
2014-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201403_v1.nc,ok,31
2014-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201404_v1.nc,ok,30
2014-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201405_v1.nc,ok,31
2014-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201406_v1.nc,ok,30
2014-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201407_v1.nc,ok,31
2014-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201408_v1.nc,ok,31
2014-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201409_v1.nc,ok,30
2014-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201410_v1.nc,ok,31
2014-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201411_v1.nc,ok,30
2014-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2014\oisst_daily_subset_201412_v1.nc,ok,31
2015-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201501_v1.nc,ok,31
2015-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201502_v1.nc,ok,28
2015-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201503_v1.nc,ok,31
2015-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201504_v1.nc,ok,30
2015-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201505_v1.nc,ok,31
2015-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201506_v1.nc,ok,30
2015-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201507_v1.nc,ok,31
2015-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201508_v1.nc,ok,31
2015-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201509_v1.nc,ok,30
2015-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201510_v1.nc,ok,31
2015-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201511_v1.nc,ok,30
2015-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2015\oisst_daily_subset_201512_v1.nc,ok,31
2016-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201601_v1.nc,ok,31
2016-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201602_v1.nc,ok,29
2016-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201603_v1.nc,ok,31
2016-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201604_v1.nc,ok,30
2016-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201605_v1.nc,ok,31
