grid_id,lon,lat,n_months,n_sst_available,n_anomaly_available,mean_sst_c,mean_sst_anomaly_c,mean_valid_day_fraction,n_sst_missing,sst_availability_fraction,review_flag
G025_R388_C1143,105.875,-7.125,276,276,276,28.312743586468407,-0.06802216772716226,1.0,0,1.0,keep
G025_R388_C1144,106.125,-7.125,276,276,276,28.264896387281237,-0.09455981315545035,1.0,0,1.0,keep
G025_R388_C1145,106.375,-7.125,276,276,276,28.216852695740116,-0.12124813004498156,1.0,0,1.0,keep
G025_R389_C1132,103.125,-7.375,276,276,276,28.558924330700503,0.17231084402153324,1.0,0,1.0,keep
G025_R389_C1133,103.375,-7.375,276,276,276,28.56619092146686,0.177108620789311,1.0,0,1.0,keep
G025_R389_C1134,103.625,-7.375,276,276,276,28.571565130823544,0.1825143904387796,1.0,0,1.0,keep
G025_R389_C1135,103.875,-7.375,276,276,276,28.578274240790996,0.19179456581106552,1.0,0,1.0,keep
G025_R389_C1136,104.125,-7.375,276,276,276,28.579627451400295,0.1956092704013684,1.0,0,1.0,keep
G025_R389_C1137,104.375,-7.375,276,276,276,28.56804158113151,0.1864830261203569,1.0,0,1.0,keep
G025_R389_C1138,104.625,-7.375,276,276,276,28.540809600321037,0.16492754706735757,1.0,0,1.0,keep
G025_R389_C1139,104.875,-7.375,276,276,276,28.493970777953567,0.12706895691507883,1.0,0,1.0,keep
G025_R389_C1140,105.125,-7.375,276,276,276,28.42778351505394,0.0698089342724048,1.0,0,1.0,keep
G025_R389_C1141,105.375,-7.375,276,276,276,28.355907035358705,0.006835385033523564,1.0,0,1.0,keep
G025_R389_C1142,105.625,-7.375,276,276,276,28.293192098204447,-0.03686143268318507,1.0,0,1.0,keep
G025_R389_C1143,105.875,-7.375,276,276,276,28.245410226845493,-0.05556627964632807,1.0,0,1.0,keep
G025_R389_C1144,106.125,-7.375,276,276,276,28.207801796013356,-0.06423073415714105,1.0,0,1.0,keep
G025_R389_C1145,106.375,-7.375,276,276,276,28.16810819386613,-0.07490002161388892,1.0,0,1.0,keep
G025_R390_C1132,103.125,-7.625,276,276,276,28.51774016111807,0.17350824823348934,1.0,0,1.0,keep
G025_R390_C1133,103.375,-7.625,276,276,276,28.520815871788887,0.175280931591289,1.0,0,1.0,keep
G025_R390_C1134,103.625,-7.625,276,276,276,28.5204375754892,0.17661874698301983,1.0,0,1.0,keep
G025_R390_C1135,103.875,-7.625,276,276,276,28.518728800878808,0.17968221474464302,1.0,0,1.0,keep
G025_R390_C1136,104.125,-7.625,276,276,276,28.511693036141864,0.17746231205361546,1.0,0,1.0,keep
G025_R390_C1137,104.375,-7.625,276,276,276,28.49272584381431,0.163326800044041,1.0,0,1.0,keep
G025_R390_C1138,104.625,-7.625,276,276,276,28.465010635978906,0.14359909945932373,1.0,0,1.0,keep
G025_R390_C1139,104.875,-7.625,276,276,276,28.42672882806824,0.11636659108953763,1.0,0,1.0,keep
G025_R390_C1140,105.125,-7.625,276,276,276,28.37768507087242,0.07830898479589987,1.0,0,1.0,keep
G025_R390_C1141,105.375,-7.625,276,276,276,28.324347369530603,0.03614971916583918,1.0,0,1.0,keep
G025_R390_C1142,105.625,-7.625,276,276,276,28.27327815914566,0.0059083989940303915,1.0,0,1.0,keep
G025_R390_C1143,105.875,-7.625,276,276,276,28.229090826720405,-0.007551245826152936,1.0,0,1.0,keep
G025_R390_C1144,106.125,-7.625,276,276,276,28.18692496395173,-0.018955160770847423,1.0,0,1.0,keep
G025_R390_C1145,106.375,-7.625,276,276,276,28.139445578904553,-0.03575794371237332,1.0,0,1.0,keep
G025_R390_C1146,106.625,-7.625,276,276,276,28.086667953749892,-0.07245065739162578,1.0,0,1.0,keep
G025_R390_C1147,106.875,-7.625,276,276,276,28.015425751050394,-0.1422978043275495,1.0,0,1.0,keep
G025_R391_C1132,103.125,-7.875,276,276,276,28.472400041039545,0.17155554184142613,1.0,0,1.0,keep
G025_R391_C1133,103.375,-7.875,276,276,276,28.471163305688393,0.17019741019267035,1.0,0,1.0,keep
G025_R391_C1134,103.625,-7.875,276,276,276,28.466813825473636,0.16929470297295274,1.0,0,1.0,keep
G025_R391_C1135,103.875,-7.875,276,276,276,28.45911327298195,0.1686006594161265,1.0,0,1.0,keep
G025_R391_C1136,104.125,-7.875,276,276,276,28.447264038957314,0.16377040966831583,1.0,0,1.0,keep
G025_R391_C1137,104.375,-7.875,276,276,276,28.42668583389321,0.15018648503480733,1.0,0,1.0,keep
G025_R391_C1138,104.625,-7.875,276,276,276,28.40244290664143,0.13515924743739008,1.0,0,1.0,keep
G025_R391_C1139,104.875,-7.875,276,276,276,28.375280420269217,0.11961534990202624,1.0,0,1.0,keep
G025_R391_C1140,105.125,-7.875,276,276,276,28.34316040458595,0.09897290944341416,1.0,0,1.0,keep
G025_R391_C1141,105.375,-7.875,276,276,276,28.307873639719897,0.07534383243438343,1.0,0,1.0,keep
G025_R391_C1142,105.625,-7.875,276,276,276,28.26888835405964,0.05518717543215238,1.0,0,1.0,keep
G025_R391_C1143,105.875,-7.875,276,276,276,28.228682664366904,0.04125687713774078,1.0,0,1.0,keep
G025_R391_C1144,106.125,-7.875,276,276,276,28.185028284609587,0.02393281156116156,1.0,0,1.0,keep
G025_R391_C1145,106.375,-7.875,276,276,276,28.13711326924213,0.002284089577563224,1.0,0,1.0,keep
G025_R391_C1146,106.625,-7.875,276,276,276,28.08883410327034,-0.0318150677112031,1.0,0,1.0,keep
G025_R391_C1147,106.875,-7.875,276,276,276,28.03752929135464,-0.08098022306160008,1.0,0,1.0,keep
